*** CreateTypeLogger.CreateLog4Net: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
Mean = 52.0101 us, StdErr = 1.2419 us (2.39%); N = 99, StdDev = 12.3564 us
Min = 29.9000 us, Q1 = 42.8000 us, Median = 55.3000 us, Q3 = 58.0000 us, Max = 76.1000 us
IQR = 15.2000 us, LowerFence = 20.0000 us, UpperFence = 80.8000 us
ConfidenceInterval = [47.7970 us; 56.2232 us] (CI 99.9%), Margin = 4.2131 us (8.10% of Mean)
Skewness = -0.22, Kurtosis = 2.19, MValue = 3.09
-------------------- Histogram --------------------
[29.663 us ; 34.337 us) | @@@@@@@@@@@@@@
[34.337 us ; 39.287 us) | @@@@@@@
[39.287 us ; 44.087 us) | @@@@@
[44.087 us ; 47.763 us) | @@
[47.763 us ; 54.013 us) | @@@@@@@@@@@@
[54.013 us ; 58.687 us) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[58.687 us ; 62.487 us) | @@@@@
[62.487 us ; 67.913 us) | @@@
[67.913 us ; 73.063 us) | @@@@@@@@@
[73.063 us ; 78.437 us) | @@
---------------------------------------------------
*** CreateTypeLogger.CreateNLogTypeOf: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
OverheadJitting 1: 1 op, 337200 ns, 337.2000 us/op
WorkloadJitting 1: 1 op, 2119400 ns, 2.1194 ms/op
OverheadWarmup 1: 1 op, 3600 ns, 3.6000 us/op
OverheadWarmup 2: 1 op, 200 ns, 200.0000 ns/op
OverheadWarmup 3: 1 op, 200 ns, 200.0000 ns/op
OverheadWarmup 4: 1 op, 100 ns, 100.0000 ns/op
OverheadWarmup 5: 1 op, 200 ns, 200.0000 ns/op
OverheadWarmup 6: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 1: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 2: 1 op, 400 ns, 400.0000 ns/op
OverheadActual 3: 1 op, 400 ns, 400.0000 ns/op
OverheadActual 4: 1 op, 500 ns, 500.0000 ns/op
OverheadActual 5: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 6: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 7: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 8: 1 op, 100 ns, 100.0000 ns/op
OverheadActual 9: 1 op, 100 ns, 100.0000 ns/op
OverheadActual 10: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 11: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 12: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 13: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 14: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 15: 1 op, 300 ns, 300.0000 ns/op
OverheadActual 16: 1 op, 300 ns, 300.0000 ns/op
OverheadActual 17: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 18: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 19: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 20: 1 op, 200 ns, 200.0000 ns/op
WorkloadWarmup 1: 1 op, 213500 ns, 213.5000 us/op
WorkloadWarmup 2: 1 op, 208400 ns, 208.4000 us/op
WorkloadWarmup 3: 1 op, 278000 ns, 278.0000 us/op
WorkloadWarmup 4: 1 op, 331100 ns, 331.1000 us/op
WorkloadWarmup 5: 1 op, 234900 ns, 234.9000 us/op
WorkloadWarmup 6: 1 op, 331300 ns, 331.3000 us/op
WorkloadWarmup 7: 1 op, 329500 ns, 329.5000 us/op
WorkloadActual 1: 1 op, 237700 ns, 237.7000 us/op
WorkloadActual 2: 1 op, 314000 ns, 314.0000 us/op
WorkloadActual 3: 1 op, 376100 ns, 376.1000 us/op
WorkloadActual 4: 1 op, 194100 ns, 194.1000 us/op
WorkloadActual 5: 1 op, 334900 ns, 334.9000 us/op
WorkloadActual 6: 1 op, 379500 ns, 379.5000 us/op
WorkloadActual 7: 1 op, 335000 ns, 335.0000 us/op
WorkloadActual 8: 1 op, 222100 ns, 222.1000 us/op
WorkloadActual 9: 1 op, 266600 ns, 266.6000 us/op
WorkloadActual 10: 1 op, 229100 ns, 229.1000 us/op
WorkloadActual 11: 1 op, 334300 ns, 334.3000 us/op
WorkloadActual 12: 1 op, 222000 ns, 222.0000 us/op
WorkloadActual 13: 1 op, 301100 ns, 301.1000 us/op
WorkloadActual 14: 1 op, 195400 ns, 195.4000 us/op
